ym: 1.0, -154.512239006, 170.748123767, 0.8330173545209303, [1220.5, 2044.0], [1710.28571429, 2452.0]
mä: 1.0, 130.030839139, 73.0964424102, -1.2385082394077669, [1710.28571429, 2452.0], [1875.0, 2248.0]
är: 1.0, -28.7022657305, -0.218422009148, 0.22263450834879409, [1875.0, 2248.0], [958.7, 2044.0]
rs: 1.0, -117.794459297, -12.0560670672, -0.779220779220779, [958.7, 2044.0], [696.9, 2248.0]
si: 1.0, -58.5317835499, -17.9286199589, -0.25974025974025977, [696.9, 2248.0], [1482.3, 2044.0]
tk: 1.0, -170.87882687, 61.4400855631, 0.5194805194805194, [1089.6, 2044.0], [1482.3, 2248.0]
ö : 1.0, 3.98999863704, 3.09760055715, -0.7784773898111049, [1744.1, 2248.0], [1220.0, 2656.0]
 s: 1.0, 170.862994222, -8.73802981552, 0.7799655897533933, [1220.0, 2656.0], [696.9, 2248.0]
in: 1.0, -284.122034247, 1.5442544274, 6.156499245659753, [1482.3, 2044.0], [1548.57142857, 2452.0]
nä: 1.0, 66.72978164, 20.092440455, -0.6249452954020792, [1548.57142857, 2452.0], [1875.0, 2248.0]
ä : 1.0, -184.826469182, -65.9016200623, -0.6229007633587786, [1875.0, 2248.0], [1220.0, 2656.0]
 t: 1.0, 305.170123017, -82.9871376034, 4.693251533742328, [1220.0, 2656.0], [1089.6, 2044.0]
tä: 1.0, -181.123744307, 13.3668923399, 0.2597402597402597, [1089.6, 2044.0], [1875.0, 2248.0]
äm: 1.0, 26.4124629918, 30.9439287735, -1.2385082394077669, [1875.0, 2248.0], [1710.28571429, 2452.0]
än: 1.0, 17.2129081039, 12.089469511, -0.6249452954020792, [1875.0, 2248.0], [1548.57142857, 2452.0]
n : 1.0, -135.561040916, -5.02217790561, -0.6208695652200906, [1548.57142857, 2452.0], [1220.0, 2656.0]
vo: 1.0, 114.481835476, 86.169860252, -1.0513915476288365, [1225.14285714, 2452.0], [1613.2, 2044.0]
ko: 1.0, 116.871238768, 35.1527795655, -1.5584415584415574, [1482.3, 2248.0], [1613.2, 2044.0]
o : 1.0, -117.048752336, -123.994675398, -1.5564598168870802, [1613.2, 2044.0], [1220.0, 2656.0]
 j: 1.0, 251.023240476, 65.5971997632, -3.1050228310502264, [1220.0, 2656.0], [1351.4, 2248.0]
jo: 1.0, 61.3394351153, 36.9645184939, -0.7792207792207794, [1351.4, 2248.0], [1613.2, 2044.0]
 p: 1.0, 219.600854543, 80.338016247, -1.1677160847166572, [1220.0, 2656.0], [1744.1, 2044.0]
ps: 1.0, 27.9427331628, 25.0974766411, -0.19480519480519484, [1744.1, 2044.0], [696.9, 2248.0]
sr: 1.0, 96.8579259332, 70.2981700755, -0.779220779220779, [696.9, 2248.0], [958.7, 2044.0]
em: 1.0, -138.94054717, 127.657251581, 0.46233043027586523, [827.8, 2044.0], [1710.28571429, 2452.0]
mi: 1.0, 63.149272459, -52.8899740821, 1.7895858136138305, [1710.28571429, 2452.0], [1482.3, 2044.0]
ke: 1.0, -43.8232130893, 0.141631090583, 0.3116883116883117, [1482.3, 2248.0], [827.8, 2044.0]
 h: 1.0, 260.876590703, 10.447797476, -816.0, [1220.0, 2656.0], [1220.5, 2248.0]
yv: 1.0, -264.658865598, -65.8621073351, 87.87692313100246, [1220.5, 2044.0], [1225.14285714, 2452.0]
vä: 1.0, 30.8309326169, 5.99280295651, -0.31391514618459476, [1225.14285714, 2452.0], [1875.0, 2248.0]
